Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Land Girls,146083,146083,NA,8000000,12-Jun-98,R,NA,Gramercy,NA,NA,NA,NA,NA,6.1,1071
"First Love, Last Rites",10876,10876,NA,300000,7-Aug-98,R,NA,Strand,NA,Drama,NA,NA,NA,6.9,207
I Married a Strange Person,203134,203134,NA,250000,28-Aug-98,NA,NA,Lionsgate,NA,Comedy,NA,NA,NA,6.8,865
Let's Talk About Sex,373615,373615,NA,300000,11-Sep-98,NA,NA,Fine Line,NA,Comedy,NA,NA,13,NA,NA
Slam,1009819,1087521,NA,1000000,9-Oct-98,R,NA,Trimark,Original Screenplay,Drama,Contemporary Fiction,NA,62,3.4,165
Mississippi Mermaid,24551,2624551,NA,1600000,15-Jan-99,NA,NA,MGM,NA,NA,NA,NA,NA,NA,NA
Following,44705,44705,NA,6000,4-Apr-99,R,NA,Zeitgeist,NA,NA,NA,Christopher Nolan,NA,7.7,15133
Foolish,6026908,6026908,NA,1600000,9-Apr-99,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,3.8,353
Pirates,1641825,6341825,NA,40000000,1-Jul-86,R,NA,NA,NA,NA,NA,Roman Polanski,25,5.8,3275
Duel in the Sun,20400000,20400000,NA,6000000,31-Dec-46,NA,NA,NA,NA,NA,NA,NA,86,7,2906
Tom Jones,37600000,37600000,NA,1000000,7-Oct-63,NA,NA,NA,NA,NA,NA,NA,81,7,4035
Oliver!,37402877,37402877,NA,10000000,11-Dec-68,NA,NA,Sony Pictures,NA,Musical,NA,NA,84,7.5,9111
To Kill A Mockingbird,13129846,13129846,NA,2000000,25-Dec-62,NA,NA,Universal,NA,NA,NA,NA,97,8.4,82786
"Tora, Tora, Tora",29548291,29548291,NA,25000000,23-Sep-70,NA,NA,NA,NA,NA,NA,Richard Fleischer,NA,NA,NA
Hollywood Shuffle,5228617,5228617,NA,100000,1-Mar-87,NA,NA,NA,NA,NA,NA,NA,87,6.8,1532
Over the Hill to the Poorhouse,3000000,3000000,NA,100000,17-Sep-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson,2000000,2000000,NA,5200000,1-Aug-44,NA,NA,NA,NA,NA,NA,NA,NA,7,451
Darling Lili,5000000,5000000,NA,22000000,1-Jan-70,NA,NA,NA,NA,NA,NA,Blake Edwards,NA,6.1,858
The Ten Commandments,80000000,80000000,NA,13500000,5-Oct-56,NA,NA,NA,NA,NA,NA,NA,90,2.5,1677
12 Angry Men,0,0,NA,340000,13-Apr-57,NA,NA,United Artists,Original Screenplay,Drama,NA,Sidney Lumet,NA,8.9,119101
Twelve Monkeys,57141459,168841459,NA,29000000,27-Dec-95,R,NA,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,NA,8.1,169858
1776,0,0,NA,4000000,9-Nov-72,PG,NA,Sony/Columbia,Based on Play,Drama,Historical Fiction,NA,57,7,4099
1941,34175000,94875000,NA,32000000,14-Dec-79,NA,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364
Chacun sa nuit,18435,18435,NA,1900000,29-Jun-07,Not Rated,NA,Strand,Original Screenplay,Thriller/Suspense,NA,NA,NA,6.3,365
2001: A Space Odyssey,56700000,68700000,NA,10500000,2-Apr-68,NA,NA,NA,Original Screenplay,NA,Science Fiction,Stanley Kubrick,96,8.4,160342
"20,000 Leagues Under the Sea",28200000,28200000,NA,5000000,23-Dec-54,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,NA,Richard Fleischer,92,NA,NA
"20,000 Leagues Under the Sea",8000000,8000000,NA,200000,24-Dec-16,NA,NA,NA,Based on Book/Short Story,Adventure,NA,NA,NA,NA,NA
24 7: Twenty Four Seven,72544,72544,NA,2000000,15-Apr-98,R,NA,October Films,Original Screenplay,Comedy,NA,Shane Meadows,NA,6.9,1417
Twin Falls Idaho,985341,1027228,NA,500000,30-Jul-99,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810
Three Kingdoms: Resurrection of the Dragon,0,22139590,NA,20000000,3-Apr-08,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,NA,NA
3 Men and a Baby,167780960,167780960,NA,15000000,25-Nov-87,NA,NA,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,NA,5.7,16764
3 Ninjas Kick Back,11744960,11744960,NA,20000000,6-May-94,PG,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,NA,17,3.2,3107
Forty Shades of Blue,75828,172569,NA,1500000,28-Sep-05,R,NA,Vitagraph Films,Original Screenplay,Drama,NA,NA,NA,6,873
42nd Street,2300000,2300000,NA,439000,9-Mar-33,NA,NA,Warner Bros.,Based on Book/Short Story,Musical,NA,NA,95,7.7,4263
Four Rooms,4301000,4301000,NA,4000000,25-Dec-95,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328
The Four Seasons,42488161,42488161,NA,6500000,22-May-81,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814
Four Weddings and a Funeral,52700832,242895809,NA,4500000,9-Mar-94,R,NA,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003
51 Birch Street,84689,84689,NA,350000,18-Oct-06,Not Rated,NA,Truly Indie,NA,NA,NA,NA,97,7.4,439
55 Days at Peking,10000000,10000000,NA,17000000,NA,NA,NA,NA,Original Screenplay,Drama,NA,NA,57,6.8,2104
Nine 1/2 Weeks,6734844,6734844,NA,18000000,21-Feb-86,NA,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,NA,5.4,12731
AstÈrix aux Jeux Olympiques,999811,132999811,NA,113500000,4-Jul-08,Not Rated,NA,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,NA,4.9,5620
The Abyss,54243125,54243125,NA,70000000,9-Aug-89,PG-13,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018
Action Jackson,20257000,20257000,NA,7000000,12-Feb-88,NA,NA,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,10,4.6,3856
Ace Ventura: Pet Detective,72217396,107217396,NA,12000000,4-Feb-94,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543
Ace Ventura: When Nature Calls,108360063,212400000,NA,30000000,10-Nov-95,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,NA,5.6,51275
April Fool's Day,12947763,12947763,NA,5000000,27-Mar-86,NA,NA,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,NA,31,NA,NA
Among Giants,64359,64359,NA,4000000,26-Mar-99,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,NA,NA,NA,5.7,546
Annie Get Your Gun,8000000,8000000,NA,3768785,17-May-50,NA,NA,MGM,Based on Book/Short Story,Musical,NA,NA,100,7.1,1326
Alice in Wonderland,0,0,NA,3000000,28-Jul-51,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Musical,NA,NA,20,6.7,63458
The Princess and the Cobbler,669276,669276,NA,24000000,25-Aug-95,G,NA,Miramax,Original Screenplay,Adventure,Fantasy,NA,NA,7.3,893
The Alamo,7900000,7900000,NA,12000000,24-Oct-60,PG-13,NA,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063
Alexander's Ragtime Band,4000000,4000000,NA,2000000,NA,NA,NA,20th Century Fox,Original Screenplay,Drama,NA,NA,NA,NA,NA
Alive,36299670,36299670,NA,32000000,15-Jan-93,R,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124
Amen,274299,274299,NA,14000000,24-Jan-03,Not Rated,NA,Kino International,Based on Play,Drama,NA,Costa-Gavras,NA,7.4,5416
American Graffiti,115000000,140000000,NA,777000,11-Aug-73,NA,NA,Universal,Original Screenplay,Comedy,NA,George Lucas,97,7.6,30952
American Ninja 2: The Confrontation,4000000,4000000,NA,350000,NA,NA,NA,NA,Original Screenplay,Action,NA,Sam Firstenberg,NA,3.7,2495
The American President,60022813,107822813,NA,62000000,17-Nov-95,PG-13,NA,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90,6.8,22780
Annie Hall,38251425,38251425,NA,4000000,20-Apr-77,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,98,8.2,65406
Anatomie,9598,9598,NA,2500000,8-Sep-00,Not Rated,NA,Sony Pictures,Original Screenplay,Horror,NA,NA,NA,6.1,6266
The Adventures of Huck Finn,24103594,24103594,NA,6500000,2-Apr-93,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095
The Apartment,18600000,24600000,NA,3000000,NA,NA,NA,United Artists,Original Screenplay,Romantic Comedy,NA,Billy Wilder,91,8.4,36485
Apocalypse Now,78800000,78800000,3479242,31500000,15-Aug-79,R,NA,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141
Arachnophobia,53208180,53208180,NA,31000000,18-Jul-90,NA,NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85,6.2,20528
Arn - Tempelriddaren,0,14900000,NA,16500000,25-Dec-07,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,6.4,6251
Arnolds Park,23616,23616,NA,600000,19-Oct-07,PG-13,NA,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.1,77
Sweet Sweetback's Baad Asssss Song,15200000,15200000,NA,150000,1-Jan-71,NA,NA,NA,NA,NA,NA,NA,NA,5.6,1769
And Then Came Love,8158,8158,NA,989000,1-Jun-07,Not Rated,NA,Fox Meadow,NA,Comedy,NA,NA,17,4.4,200
Around the World in 80 Days,42000000,42000000,NA,6000000,17-Oct-56,PG,NA,United Artists,Based on Book/Short Story,Adventure,NA,NA,73,5.6,21516
Barbarella,0,0,NA,9000000,10-Oct-68,NA,NA,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,74,5.7,10794
Barry Lyndon,20000000,20000000,NA,11000000,NA,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,NA,Stanley Kubrick,94,8.1,39909
"Barbarians, The",800000,800000,NA,4000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,236
Babe,63658910,246100000,NA,30000000,4-Aug-95,G,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644
Boynton Beach Club,3127472,3127472,NA,2900000,24-Mar-06,R,104,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,NA,NA,NA
Baby's Day Out,16581575,16581575,NA,50000000,1-Jul-94,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332
Bound by Honor,4496583,4496583,NA,35000000,16-Apr-93,NA,NA,Walt Disney Pictures,Original Screenplay,NA,NA,Taylor Hackford,NA,7.7,10142
"Bon Cop, Bad Cop",12671300,12671300,NA,8000000,4-Aug-06,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,67,6.9,151
Back to the Future,210609762,381109762,NA,19000000,3-Jul-85,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598
Back to the Future Part II,118450002,332000000,NA,40000000,22-Nov-89,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341
Back to the Future Part III,87666629,243700000,NA,40000000,24-May-90,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541
Butch Cassidy and the Sundance Kid,102308900,102308900,NA,6000000,24-Oct-69,NA,NA,20th Century Fox,NA,Western,Historical Fiction,George Roy Hill,90,8.2,57602
Bad Boys,65647413,141247413,NA,23000000,7-Apr-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929
Body Double,8801940,8801940,NA,10000000,26-Oct-84,NA,NA,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738
"The Beast from 20,000 Fathoms",5000000,5000000,NA,210000,13-Jun-53,NA,NA,Warner Bros.,Based on Book/Short Story,NA,NA,NA,90,NA,NA
Beastmaster 2: Through the Portal of Time,773490,773490,NA,6000000,30-Aug-91,NA,NA,New Line,Based on Book/Short Story,NA,Fantasy,NA,17,3.3,1327
The Beastmaster,10751126,10751126,NA,5000000,20-Aug-82,NA,NA,MGM,Based on Book/Short Story,Action,Fantasy,NA,50,5.7,5734
Ben-Hur,9000000,9000000,NA,3900000,30-Dec-25,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,NA,NA,8.2,58510
Ben-Hur,73000000,73000000,NA,15000000,18-Nov-59,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,William Wyler,91,8.2,58510
Benji,31559560,31559560,NA,500000,15-Nov-74,NA,NA,NA,Original Screenplay,Adventure,NA,NA,83,5.8,1801
Before Sunrise,5274005,5274005,NA,2500000,27-Jan-95,R,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705
Beauty and the Beast,171340294,403476931,NA,20000000,13-Nov-91,G,NA,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354
The Best Years of Our Lives,23600000,23600000,NA,2100000,21-Nov-46,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Drama,NA,William Wyler,97,8.2,17338
The Ballad of Gregorio Cortez,909000,909000,NA,1305000,19-Aug-83,NA,NA,Embassy,Based on Book/Short Story,Western,Historical Fiction,NA,NA,NA,NA
My Big Fat Independent Movie,4655,4655,NA,3000000,30-Sep-05,R,NA,Big Fat Movies,NA,Comedy,Contemporary Fiction,NA,23,3.2,1119
Battle for the Planet of the Apes,8800000,8800000,NA,1800000,NA,NA,NA,20th Century Fox,NA,NA,Science Fiction,Jack Lee Thompson,38,5,6094
Big Things,0,0,NA,50000,31-Dec-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogus,4357406,4357406,NA,32000000,6-Sep-96,PG,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742
Beverly Hills Cop,234760478,316300000,NA,15000000,5-Dec-84,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065
Beverly Hills Cop II,153665036,276665036,NA,20000000,20-May-87,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712
Beverly Hills Cop III,42586861,119180938,NA,50000000,25-May-94,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199
The Black Hole,35841901,35841901,NA,20000000,21-Dec-79,NA,NA,Walt Disney Pictures,Original Screenplay,NA,Science Fiction,NA,42,5.6,7810
Bathory,0,3436763,NA,15000000,10-Jul-08,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1446
Big,114968774,151668774,NA,18000000,3-Jun-88,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96,7.2,49256
The Big Parade,11000000,22000000,NA,245000,1-Jan-25,NA,NA,MGM,Based on Play,Drama,NA,King Vidor,100,8.4,2600
Boyz n the Hood,56190094,56190094,NA,6500000,12-Jul-91,NA,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98,7.8,30299
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,NA,2000000,12-Sep-03,PG,NA,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,NA,NA
Return to the Blue Lagoon,2000000,2000000,NA,11000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4632
"Bright Lights, Big City",16118077,16118077,NA,25000000,1-Apr-88,R,NA,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,NA,61,6.8,11929
The Blue Bird,887000,887000,NA,1200000,NA,NA,NA,20th Century Fox,Based on Play,NA,Fantasy,George Cukor,NA,4.9,359
The Blue Butterfly,1610194,1610194,NA,10400000,20-Feb-04,PG,NA,Alliance,Original Screenplay,Drama,Contemporary Fiction,NA,44,6.2,817
Blade Runner,32656328,33139618,NA,28000000,25-Jun-82,R,NA,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546
Bloodsport,11806119,11806119,NA,1500000,26-Feb-88,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,NA,NA,6.2,19816
The Blues Brothers,57229890,57229890,NA,27000000,20-Jun-80,NA,NA,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941
Blow Out,13747234,13747234,NA,18000000,24-Jul-81,NA,NA,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239
De battre mon coeur s'est arrÍtÈ,1023424,8589831,NA,5500000,1-Jul-05,Not Rated,NA,WellSpring,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,7295
The Broadway Melody,2800000,4358000,NA,379000,NA,NA,NA,MGM,Original Screenplay,Musical,NA,NA,38,6.7,2017
Boom Town,9172000,9172000,NA,2000000,NA,NA,NA,MGM,Original Screenplay,NA,NA,NA,NA,7.1,1115
Bound,3802260,6300000,NA,4500000,4-Oct-96,R,NA,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564
Bang,527,527,NA,10000,1-Apr-96,NA,NA,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff ""King Jeff"" Hollins",NA,6.3,369
Bill & Ted's Bogus Journey,37537675,37537675,NA,20000000,19-Jul-91,NA,NA,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58,5.8,20188
The Birth of a Nation,10000000,11000000,NA,110000,8-Feb-15,NA,NA,NA,Based on Book/Short Story,Drama,NA,NA,100,7.1,8901
The Ballad of Cable Hogue,3500000,5000000,NA,3716946,13-May-70,NA,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92,7.3,3125
The Blood of Heroes,882290,882290,NA,7700000,23-Feb-90,NA,NA,New Line,Original Screenplay,Action,NA,NA,NA,6.2,2523
Boomerang,70052444,131052444,NA,42000000,1-Jul-92,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,37,5.9,202
The Bridge on the River Kwai,33300000,33300000,NA,3000000,18-Dec-57,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,NA,David Lean,95,8.4,58641
Born on the Fourth of July,70001698,70001698,NA,14000000,20-Dec-89,NA,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89,7.2,32108
Basquiat,2962051,2962051,NA,3000000,9-Aug-96,R,NA,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69,6.7,7935
Black Rain,45892212,45892212,NA,30000000,22-Sep-89,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57,4.1,137
Bottle Rocket,407488,407488,NA,5000000,21-Feb-96,R,NA,Sony Pictures,Based on Short Film,Adventure,NA,Wes Anderson,79,7.2,21980
Braindead,242623,242623,NA,3000000,12-Feb-93,NA,NA,Trimark,Original Screenplay,Horror,NA,Peter Jackson,NA,7.6,32827
The Bridges of Madison County,71516617,175516617,NA,22000000,2-Jun-95,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923
The Brothers McMullen,10426506,10426506,NA,25000,9-Aug-95,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365
Dracula,82522790,215862692,NA,40000000,13-Nov-92,R,NA,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,NA,6.4,136
Broken Arrow,70645997,148345997,NA,65000000,9-Feb-96,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584
Brainstorm,8921050,8921050,NA,15000000,30-Sep-83,NA,NA,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,NA,64,6.3,4410
Braveheart,75545647,209000000,NA,72000000,24-May-95,R,NA,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642
Brazil,9929135,9929135,NA,15000000,18-Dec-85,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635
Blazing Saddles,119500000,119500000,NA,2600000,1-Jan-74,NA,NA,Warner Bros.,Original Screenplay,Comedy,NA,Mel Brooks,89,7.8,45771
